date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
9/4/83,"Mr. Roboto, Styx",Mr. Roboto,Styx,0.663,0.482,1.0,-12.093,1.0,0.0479,0.186,0.0,0.0521,0.314,144.13,328707.0,0.8780487804878049
9/4/83,"You Are, Lionel Richie",You Are,Lionel Richie,0.777,0.456,1.0,-12.736,1.0,0.033,0.196,3.23e-05,0.0473,0.727,111.981,300880.0,0.8780487804878049
9/5/81,"Theme From ""Greatest American Hero"" (Believe It or Not), Joey Scarbury","Theme From ""Greatest American Hero"" (Believe It or Not)",Joey Scarbury,0.521,0.743,2.0,-5.903,1.0,0.0338,0.249,0.0,0.096,0.451,117.129,195293.0,0.8767833981841764
8/5/82,"Rosanna, Toto",Rosanna,Toto,0.365,0.513,7.0,-13.034,0.0,0.0357,0.0208,0.000147,0.205,0.739,80.647,331200.0,0.8758278145695364
9/6/84,"What's Love Got To Do With It, Tina Turner",What's Love Got To Do With It,Tina Turner,0.855,0.48,1.0,-8.902,1.0,0.0588,0.254,2.16e-05,0.151,0.798,97.793,230240.0,0.8720800889877642
9/6/84,"Footloose, Kenny Loggins",Footloose,Kenny Loggins,0.546,0.895,9.0,-7.189,1.0,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089,220707.0,0.8714991762767711
7/4/84,"Owner Of A Lonely Heart, Yes",Owner Of A Lonely Heart,Yes,0.744,0.798,7.0,-5.981,1.0,0.0364,0.175,0.00367,0.26,0.89,125.061,268507.0,0.8601626016260163
9/10/82,"Hold Me, Fleetwood Mac",Hold Me,Fleetwood Mac,0.709,0.571,10.0,-13.25,1.0,0.039,0.247,0.014,0.114,0.779,124.739,225333.0,0.8601190476190477
9/6/90,"Hold On, Wilson Phillips",Hold On,Wilson Phillips,0.679,0.657,5.0,-9.897,1.0,0.0255,0.4,0.0,0.0497,0.546,97.8,266867.0,0.8561643835616438
9/3/85,"I Want To Know What Love Is, Foreigner",I Want To Know What Love Is,Foreigner,0.477,0.471,6.0,-10.036,1.0,0.0277,0.193,1.76e-06,0.131,0.423,81.204,304787.0,0.8529980657640232
9/6/90,"Vision Of Love, Mariah Carey",Vision Of Love,Mariah Carey,0.256,0.464,5.0,-10.959,1.0,0.0382,0.433,0.0,0.121,0.355,205.362,209293.0,0.8521126760563381
9/5/81,"The Winner Takes It All, ABBA",The Winner Takes It All,ABBA,0.454,0.788,6.0,-6.748,1.0,0.0371,0.574,0.000766,0.0859,0.52,126.15,294720.0,0.8482871125611746
8/9/90,"Ice Ice Baby, Vanilla Ice",Ice Ice Baby,Vanilla Ice,0.979,0.792,2.0,-2.784,1.0,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,254467.0,0.8450292397660819
